% Module: Sweep, ID: c0p1t10p1cfm0
% Device: dev4146
% Time: 2024/09/16 15:10:16
% Impedance 1 Sample Abs(Z),  /module/c0p1t10p1cf/sweep/dev4146/imps/0/sample.AbsZ
% Frequency (Hz); Impedance 1 Sample Abs(Z) Impedance (Ohm)
1090.059499007941; 24.3789596653
1188.229711377444; 24.8034189298
1295.241083890445; 25.0165960138
1411.889847000122; 25.5023060574
1539.043939275351; 25.8310479578
1677.649465397698; 26.0984814432
1828.737735762353; 26.3095303839
1993.432940062027; 26.4067637745
2172.960511949941; 26.6523137039
2368.656247020192; 26.6683484795
2581.976241948858; 26.845797946
2814.507728749179; 26.883872225
3067.980884754309; 26.9841909026
3344.281706201221; 27.0214966608
3645.466041203126; 27.0108473899
3973.774886524338; 27.0196285343
4331.651061975059; 26.973242608
4721.757386493749; 26.9037543788
5146.996491158417; 26.8802776727
5610.532416547775; 26.7869533657
6115.814155149881; 26.7098276646
6666.601313988354; 26.6134155017
7266.992088411828; 26.5261045524
7921.453755188862; 26.3914222007
8634.855911795745; 26.2194627266
9412.506709217829; 26.0752109792
10260.19234785886; 25.9031816028
11184.22013043215; 25.6840587783
12191.46539217339; 25.4569079066
13289.42265756519; 25.2295898845
14486.26140421028; 24.9359658587
15790.88684877152; 24.695017973
17213.00620726299; 24.3598717938
18763.20092270966; 24.0180162351
20453.00539759425; 23.6717777946
22294.99281690828; 23.2836268235
24302.86870038466; 22.8677744856
26491.57287999705; 22.4456005837
28877.39066150198; 22.0195010125
31478.07399713342; 21.5526055091
34312.97357105018; 21.0968375891
37403.18278033166; 20.6113789615
40771.69468283073; 20.1420721995
44443.57307967125; 19.6743383823
48446.13900534922; 19.1923817733
52809.1740130401; 18.7388584312
57565.14176767763; 18.2800326073
62749.42959559571; 17.8586448021
68400.61178800922; 17.4410562802
74560.73661747393; 17.0599821809
81275.63920290676; 16.6889419621
88595.28255107065; 16.3637572339
96574.12931208697; 16.0536236642
105271.5470150615; 15.7703057168
114752.249799029; 15.5185627546
125086.7799259638; 15.2763990033
136352.0326586126; 15.070273482
148631.8284085615; 14.878186113
162017.5364116707; 14.713457585
176608.7545714068; 14.5511632716
192514.0505285243; 14.4150802945
209851.7694711125; 14.3008579528
228750.9146956106; 14.1777976452
249352.1074707053; 14.0583614011
271808.6333460917; 13.9679479485
296287.5826912741; 13.8901337079
322971.0939507239; 13.838576237
352057.7088659725; 13.7328445074
383763.8497483252; 13.671458778
418325.4297940186; 13.5518700215
455999.6084235491; 13.5484018879
497066.7047059918; 13.4780015074
541832.2831053411; 13.4457605203
590629.4270681365; 13.3935556558
643821.2173692395; 13.3682102952
701803.4336561968; 13.3379843175
765007.4992933276; 13.3300763704
833903.6914170017; 13.276149438
909004.6400868887; 13.3167282889
990869.1425690068; 13.3366798137
1080106.321131201; 13.3931505704
1177380.155287588; 13.4512417734
1283414.422214679; 13.5625781621
1398998.082098898; 13.6846386885
1524991.148485794; 13.8845224687
1662331.087309971; 14.1134959693
1812039.792218435; 14.4370935846
1975231.188088079; 14.7665682536
2153119.51931215; 15.2283500298
2347028.384525619; 15.782139576
2558400.584993416; 16.5271681753
2788808.859939544; 17.4935374544
3039967.588694611; 18.7108615355
3313745.546732823; 20.1561267754
3612179.810511373; 21.9932319226
3937490.914572631; 24.3508517924
4292099.373687359; 27.4959017291
4678643.692973945; 31.9893328695
5099999.999999837; 37.0985068683
