% Module: Sweep, ID: c0p1t10p1cfm0
% Device: dev4146
% Time: 2024/09/16 15:11:11
% Impedance 1 Sample Abs(Z),  /module/c0p1t10p1cf/sweep/dev4146/imps/0/sample.AbsZ
% Frequency (Hz); Impedance 1 Sample Abs(Z) Impedance (Ohm)
1090.059499007941; 24.3970419829
1188.229711377444; 24.7574417567
1295.241083890445; 25.0960192362
1411.889847000122; 25.5056474585
1539.043939275351; 25.8454284346
1677.649465397698; 26.0553732054
1828.737735762353; 26.3524245055
1993.432940062027; 26.5028554281
2172.960511949941; 26.6798092426
2368.656247020192; 26.8095548079
2581.976241948858; 26.8265263765
2814.507728749179; 26.9928044386
3067.980884754309; 26.9696892318
3344.281706201221; 27.0953907183
3645.466041203126; 27.0708679882
3973.774886524338; 27.0912977994
4331.651061975059; 27.0701299562
4721.757386493749; 27.0445923746
5146.996491158417; 26.9717788555
5610.532416547775; 26.874190362
6115.814155149881; 26.784103615
6666.601313988354; 26.7090012471
7266.992088411828; 26.5784190913
7921.453755188862; 26.4707836372
8634.855911795745; 26.3315612794
9412.506709217829; 26.1513486367
10260.19234785886; 25.9908624442
11184.22013043215; 25.7875324109
12191.46539217339; 25.5516353448
13289.42265756519; 25.3160509396
14486.26140421028; 25.0403954716
15790.88684877152; 24.7403904526
17213.00620726299; 24.4373097613
18763.20092270966; 24.0917570328
20453.00539759425; 23.7249354713
22294.99281690828; 23.3388928294
24302.86870038466; 22.9900880388
26491.57287999705; 22.6201621733
28877.39066150198; 22.2515761725
31478.07399713342; 21.820119377
34312.97357105018; 21.3636621452
37403.18278033166; 20.8822852274
40771.69468283073; 20.3888647004
44443.57307967125; 19.9069935908
48446.13900534922; 19.4705463247
52809.1740130401; 19.0121640076
57565.14176767763; 18.5171072629
62749.42959559571; 18.6655430066
68400.61178800922; 18.006368397
74560.73661747393; 17.0910576877
81275.63920290676; 16.3503357403
88595.28255107065; 15.7320192297
96574.12931208697; 15.2329246849
105271.5470150615; 14.8554203765
114752.249799029; 14.5464745742
125086.7799259638; 14.2721643367
136352.0326586126; 13.9837579253
148631.8284085615; 13.7237601465
162017.5364116707; 13.4963869778
176608.7545714068; 13.314595263
192514.0505285243; 13.1842861616
209851.7694711125; 13.0825216153
228750.9146956106; 13.0481379618
249352.1074707053; 12.9995081008
271808.6333460917; 12.9828479331
296287.5826912741; 12.960110809
322971.0939507239; 12.9309215582
352057.7088659725; 12.9026860111
383763.8497483252; 12.8829320556
418325.4297940186; 12.8654785387
455999.6084235491; 12.8558284502
497066.7047059918; 12.8497583989
541832.2831053411; 12.8688594697
590629.4270681365; 12.8632920156
643821.2173692395; 12.8548960449
701803.4336561968; 12.866098989
765007.4992933276; 12.8930899307
833903.6914170017; 12.9276962791
909004.6400868887; 12.9531204191
990869.1425690068; 13.0022786571
1080106.321131201; 13.1018384969
1177380.155287588; 13.2429200816
1283414.422214679; 13.3280082473
1398998.082098898; 13.4709042566
1524991.148485794; 13.7088421791
1662331.087309971; 13.9608402793
1812039.792218435; 14.2727947546
1975231.188088079; 14.6878265711
2153119.51931215; 15.15858957
2347028.384525619; 15.7560339128
2558400.584993416; 16.5689098021
2788808.859939544; 17.6072501662
3039967.588694611; 18.8459707477
3313745.546732823; 20.4189146851
3612179.810511373; 22.3837615332
3937490.914572631; 24.760913371
4292099.373687359; 28.3610920427
4678643.692973945; 32.8525653197
5099999.999999837; 37.9804382428
