id,label_0,label_1,label_2,label_3
1,3.574302e-12,5.35204e-15,0.9999876,1.2446748e-05
2,3.249477e-14,3.4520926e-20,1.0,7.613578e-09
3,5.8743813e-12,5.862806e-20,0.9999999,1.3683473e-07
4,1.02678534e-07,7.2021577e-12,0.99999297,6.8636045e-06
5,4.8833284e-09,1.3162981e-11,0.99999905,9.156443e-07
6,1.5715072e-17,1.17574176e-20,0.99999833,1.6942028e-06
7,1.017797e-05,1.4135723e-11,0.99883634,0.0011535857
8,4.613125e-05,5.6210746e-07,0.99668115,0.0032722156
9,2.35783e-12,3.3218213e-16,0.9999827,1.7272952e-05
10,0.006938701,5.104982e-06,0.99293876,0.0001173998
11,1.24625985e-05,2.3136986e-08,0.999969,1.8437297e-05
12,0.00071481586,0.00018047202,0.9947878,0.004316916
13,2.8678215e-09,2.1979593e-12,0.9999931,6.9090247e-06
14,0.00018192257,8.0082195e-08,0.9990978,0.00072026125
15,3.5345525e-07,8.549588e-12,0.9998111,0.0001885948
16,0.14387263,2.9140254e-05,0.78843117,0.06766705
17,0.000121869234,1.4331976e-13,0.9998778,3.745313e-07
18,1.6459746e-09,5.958776e-11,0.99999666,3.3963047e-06
19,6.525517e-08,2.7963798e-11,0.9999995,3.4513468e-07
20,0.0024064484,6.367824e-07,7.9621486e-07,0.9975922
21,3.319839e-05,8.2149845e-06,3.6481157e-07,0.99995816
22,0.8855382,0.023299633,1.8297183e-05,0.091143854
23,0.015358205,2.3921655e-06,2.093767e-06,0.9846373
24,0.0004856177,3.7292568e-06,3.961523e-07,0.9995103
25,0.0038752798,0.010423914,2.9112796e-06,0.98569787
26,0.00013798896,0.99986196,2.3496078e-09,1.32634606e-08
27,0.9063009,0.08751585,0.0028380954,0.0033451016
28,0.14088173,3.6017684e-06,0.50927997,0.3498347
29,0.9986205,8.079612e-05,0.00015052926,0.0011481943
30,0.00070737605,0.9992926,1.1572923e-09,5.0105094e-12
