id,,
1,"-0.18800942453725034,-0.19152898983303696,-0.19529583648429838,-0.19980135603743282,-0.20543389149463093,-0.2121940894746649,-0.2193470591755345,-0.22639942398864443,-0.2335609809103984,-0.2405905720404694,-0.24695070959344223,-0.2531447169910823,-0.25994516446874416,-0.2669931144436378,-0.2733248439527125,-0.27831730319921055,-0.2822516330966389,-0.2855685923245813,-0.28767947392384274,-0.28793265886676844,-0.2869036612605438,-0.2852822809583937,-0.28300408048899395,-0.27980502321643697,-0.27543902522584984,-0.2706521029081037,-0.2669758788038591,-0.2647210919439511,-0.2625893973905975,-0.2588811083111989,-0.25173812418115615,-0.23899510786772193,-0.21688029342820903,-0.1748469053464885,-0.09300118316177242,0.04361333978379611,0.22325061403373747,0.41036981797581706,0.5706613336976345,0.686718176967152,0.7573894612053812,0.7918050746017675,0.802056409130298,0.7980869363970872,0.7880813813778756,0.7789286769594862,0.7731597872010234,0.7671282906927107,0.7538198335634791,0.7278466812870532,0.6893019714019835,0.6435211175172257,0.5971007113378425,0.5536723977867397,0.5123252022681452,0.47039057070278856,0.4280590752733489,0.3890641417904296,0.3575822974310664,0.3363175306323779,0.32722548428465514,0.3309777215005685,0.3404212336680742,0.3353077499437006,0.2926165510595059,0.2057120227404371,0.08999176753550042,-0.030070075223606718,-0.13448444856449437,-0.21241578311060016,-0.2632816221152131,-0.29371680962757174,-0.31147313341427474,-0.32185203724472067,-0.327523003929003,-0.3305577924123628,-0.33295881855565357,-0.3343608861666245,-0.3325799451743031,-0.32672287544033685,-0.31773903107983803,-0.3075033731994926,-0.29735844206645556,-0.28701851335005535,-0.27559364895708627,-0.2630375671499554,-0.25001359482835583,-0.23710841839261565,-0.22462377523462984,-0.21311885199587954,-0.20323279650231063,-0.19518593617080238,-0.18941301268186672,-0.18611001863888577,-0.18386176997127168,-0.1804688500154843,-0.17487849325767701,-0.16795509504998696,-0.1621783740183398,-0.16012146887865453",3
2,"-0.3743259238708957,-0.3689347818152541,-0.36114446391485977,-0.3523271562394461,-0.3431374301064498,-0.33374562391509444,-0.32458869324578055,-0.3162119005092445,-0.3090343424085108,-0.3034663494387828,-0.29945581160319734,-0.29648958990514584,-0.29394019994391163,-0.2913182963236538,-0.28851730419055843,-0.2856812095426655,-0.28290626779295425,-0.2800521878867833,-0.2772549258593995,-0.2748336027896475,-0.2723291067770055,-0.2682472495901008,-0.2580780563532983,-0.22841881203683767,-0.15539288166322252,-0.02392685438732367,0.1454982171418245,0.3090225781860027,0.43830974827001806,0.5304983907294801,0.5927169001325324,0.6323768280654579,0.6555318424811052,0.6668493208222973,0.6712528970878789,0.6738252120645178,0.6755393167726828,0.6717847501595036,0.6572558606683008,0.6303758357575954,0.5937740282045038,0.5533296071981916,0.5148359915448363,0.4797673548641518,0.4461963606465349,0.41223447701258553,0.37790376183572216,0.34703944352425653,0.3262268588269527,0.3206490716641575,0.3310202315925103,0.34822171955256326,0.34881120719699493,0.3062731376615364,0.21395115079225666,0.0933144070798878,-0.024250471175716437,-0.12119537117990464,-0.19555652963407855,-0.24874065542003965,-0.28208222645814496,-0.30011888769431627,-0.30894138332127763,-0.31195139165475394,-0.3098952913421831,-0.30359490068148043,-0.2944724436800936,-0.28300560943644004,-0.26903330596724817,-0.2532202395107318,-0.2366345759852655,-0.2197814308965732,-0.2030759579287923,-0.1871328662270807,-0.17263870375101575,-0.1599625530358918,-0.1487919227042559,-0.13865580808442735,-0.12917399350796244,-0.12007506170327309,-0.11140785700182942,-0.10347593275420797,-0.0965973008885459,-0.09099985413172473,-0.08654427183077323,-0.08267948967224859,-0.07918786781968984,-0.07568715137640258,-0.07142660691074854,-0.06652958629829031,-0.061302993630888925,-0.05577624469354203,-0.050505419284459285,-0.04574009945658697,-0.04121574932556182,-0.03723496220506767,-0.03407742215967108,-0.03135850809842605,-0.02913406724125872,-0.027764519665964382",3
3,"-0.2376631937243801,-0.23842629552690386,-0.23887806628124597,-0.23848977878990923,-0.2381778570510858,-0.23869594977407071,-0.23950909182608587,-0.23937273643394108,-0.23756202072488003,-0.23362249167912325,-0.2273403783600702,-0.21959749497253545,-0.21178443229155453,-0.20488151458881615,-0.19928267474287653,-0.19428495175648364,-0.18879384382954473,-0.18300731818991522,-0.1778038446202903,-0.1732830031720466,-0.16894373381892286,-0.16456818066638879,-0.16077085989672057,-0.15812966212123347,-0.15564763451549168,-0.15211968250465446,-0.1483089878639543,-0.14468639361467217,-0.13616603020539186,-0.1067591184504677,-0.03555781193938512,0.07668052636283026,0.19699125260600706,0.2935820081530356,0.3621421962399073,0.4140462519145755,0.4586239618485322,0.4979908857592775,0.5294857285963803,0.5502216041689918,0.5601152872249241,0.5607830376010642,0.5522196917060408,0.5336890528563263,0.5066664974760126,0.47423793516698287,0.4398475181011152,0.4065673201714365,0.375201680703133,0.34442771065891464,0.3140340003162466,0.2860106455397834,0.26297844823636374,0.24713782660510453,0.2400437543087858,0.24181772450243158,0.2500170071443816,0.25903580893453565,0.26118358996239555,0.2492649550472658,0.21846971970459908,0.16564815618105683,0.09210205809481747,0.009955403253787548,-0.06336594181795563,-0.11841445088954583,-0.15664562730492293,-0.18342000141830034,-0.2021909617353974,-0.21392459402904285,-0.2188156077693557,-0.21781814405331212,-0.21307563040938016,-0.20690377492892342,-0.2000734849695489,-0.19190716563730692,-0.1821255422714514,-0.17170208539508608,-0.1618439776569488,-0.1531552519117665,-0.14602808151332625,-0.1407454382771114,-0.13689952478310136,-0.13353612971439194,-0.1304726484672652,-0.12800919083571172,-0.1258250049418944,-0.12400459451756696,-0.12303266916858169,-0.12238809901067221,-0.12150485048903331,-0.12082952671539093,-0.12051152492100647,-0.12000060881968205,-0.119298655764486,-0.1185149004382498,-0.11692462394955278,-0.11417785886089815,-0.11136749971593923,-0.10965053811190428",3
4,"-0.2005100676958982,-0.19751205572361208,-0.19896839784695286,-0.20163472389863935,-0.20437707067947208,-0.20537456318577685,-0.20555770691719466,-0.2071290679202753,-0.21002535014078583,-0.215469381309348,-0.220068343008893,-0.22397063241869142,-0.2251860002431334,-0.2225131176968762,-0.22112494145843553,-0.220033299079325,-0.21623721507858562,-0.2139795786736538,-0.21247303487384772,-0.19912341501899244,-0.16250673551228367,-0.10287451727893204,-0.03975527787355748,0.00460455457862563,0.03574985275687059,0.058905717367139565,0.06619684906303047,0.04726763355550334,-0.00955400219712843,-0.0799209253004729,-0.11034518544890526,-0.06074788520214747,0.05348679569523063,0.18523684359813286,0.30907592743687173,0.41628317816618327,0.4929669733030061,0.5450734443985592,0.6193764064522577,0.6660415041656493,0.6369489389483858,0.5679327450427669,0.5132116918461638,0.4928517096435685,0.48609857191304917,0.471553436002123,0.43685517445521743,0.3777727226879728,0.31256450714591877,0.25216634538790217,0.19355225595740755,0.12818339379275545,0.06474302731306947,0.017194683598816374,-0.01451140541473206,-0.03541654869770616,-0.0497151297938806,-0.05856413313785047,-0.06253537754427885,-0.062407226182315645,-0.061973547472435,-0.061678777915356475,-0.06217103030759197,-0.06252944601872801,-0.06361844674293016,-0.06764568684800776,-0.07463051685398736,-0.07935324480324812,-0.08218514762135531,-0.08446498266195879,-0.08692695595358768,-0.08928917696058236,-0.0904053644314653,-0.09082461037762735,-0.08607697793411662,-0.07888796525806341,-0.07673785254737209,-0.07602750377859202,-0.0760152332656101,-0.07337199553478713,-0.06817583958914697,-0.06168147919762723,-0.06252285428841087,-0.0693524401574217,-0.07309481010930408,-0.07681944274251262,-0.08125102484453284,-0.08413687435634665,-0.08803844017675888,-0.09561162105385645,-0.10548061672569031,-0.11515497573445099,-0.12169797424227347,-0.12407909303608977,-0.11867633622768659,-0.11061099893670234,-0.10434101446540711,-0.09965244763457304,-0.09735333003060975,-0.09922649498272462",2
,"0.00925570903622952,0.007645416656937631,0.006541624549802061,0.005359154888569362,0.004236858649003472,0.0033556822080915705,0.0023447406343312938,0.0007473013714839327,-0.0013195117420283509,-0.003531203942031935,-0.005571919652682805,-0.00654840881248675,-0.006005707312539965,-0.004738867357550719,-0.00304642936974453,-0.0005483050123201438,0.002510261500347888,0.005708796215942086,0.009165432676574548,0.013124403835965581,0.017458076826853297,0.021925799364337306,0.02664096448037362,0.031640211240673094,0.036357474381037425,0.04059169327550202,0.0450978358217253,0.049976434301405,0.054210642349362265,0.057083356332522345,0.05845760788104934,0.058274480577032384,0.0567001174798602,0.05422403228450878,0.05093908800616401,0.04634929979597463,0.039967484383470586,0.03150105469660902,0.021096744828229264,0.009776574527000925,-0.0007389112066336079,-0.010177920945354135,-0.02098861195735452,-0.03597556010804581,-0.056377160703840856,-0.08247107248385327,-0.11444127149375544,-0.15307440997102334,-0.1980409943327669,-0.2442474241652719,-0.28269890133078374,-0.306177508889198,-0.3144237130448204,-0.31397941873044816,-0.30972610521271665,-0.29660789340536775,-0.262844679592973,-0.20147917223569695,-0.11822150134205495,-0.02784982784216783,0.054497434471819484,0.11793116132045117,0.15869460415122638,0.18170704248697445,0.19549213793226428,0.20560425664343474,0.21388250514715385,0.2208514403670398,0.2265597182769573,0.23023078887784038,0.23004293711422918,0.22439211597514902,0.21331826114028468,0.19785144967702267,0.17924221920026973,0.15881470714863366,0.13733003830383533,0.11485670902077516,0.09183625435800069,0.06968546149634042,0.049891120795381216,0.03332550729402706,0.019672496750448798,0.007498289807351954,-0.004181210700572091,-0.015192815216002686,-0.02506909272835517,-0.03404372302245462,-0.04267190628496509,-0.05098907219007476,-0.058461754369783014,-0.065009262063279,-0.07164552315039319,-0.07877579693604919,-0.08542378095498504,-0.09116713830905881,-0.09661252715305102,-0.10154627377686037,-0.10425391610753304,-0.10457680765496474",2
,"-0.005759324016696071,-0.01179038498360499,-0.021306450685112804,-0.03183704441327681,-0.041220220065213864,-0.047956274218501516,-0.05221760694849037,-0.05479812741163226,-0.05537768088804318,-0.05359693520531056,-0.050300760848797976,-0.0466669870018418,-0.04289081582805612,-0.03840182973403289,-0.03308925794255865,-0.027699363483044498,-0.02283363237992711,-0.018365922611349367,-0.013739513150724747,-0.008571087403321714,-0.002753314468138257,0.003444552503235443,0.008783093814043741,0.012472690856832447,0.015242043785903159,0.017953344817574074,0.020893103058926554,0.024107141139485144,0.027969256918486535,0.0330473569897807,0.03916096454663984,0.04578635041296428,0.052849477815944984,0.060122916398292925,0.06684967417408758,0.07166500744111207,0.07336101358937222,0.07216070900500182,0.06966313564110999,0.06748865549753841,0.06545559513985788,0.06131475157525401,0.053374696854459475,0.04283086200955899,0.032502487021292104,0.024963416286845036,0.022966873160975843,0.02861226008222642,0.04078656048594076,0.054581344389404624,0.06406066635549959,0.06611732171529106,0.06125181311185565,0.05111457410460457,0.03584737742822802,0.01276159802752408,-0.02326284362044098,-0.07662887064738386,-0.14425751287332153,-0.2101775480551351,-0.2528325173460108,-0.2594771152145593,-0.23019621968802093,-0.17309136274417095,-0.10079173770243238,-0.02824790325360979,0.032321153957635435,0.07548667535507914,0.10078625933553512,0.11073941511709562,0.11048213583103172,0.10507053408634479,0.09755293618449862,0.08940822662687212,0.08166616580634231,0.07530036902407716,0.07018169586479475,0.06533135544219382,0.05999628506865082,0.05338335596331817,0.045049821530109974,0.03567581715947754,0.026339954411277927,0.017469082468330066,0.009002181403305443,0.001128122991571695,-0.005879713950572907,-0.012330219782783675,-0.018755998896308967,-0.025235541950122037,-0.03167732871045942,-0.0379832711339646,-0.04378987315512206,-0.04875803880113433,-0.05302777109821441,-0.05684654630983396,-0.060267074747108906,-0.06295705497191612,-0.06374029468315329,-0.06254933675923413",2
,"-0.0008211596242738706,0.000320787823293478,0.0019205308264785836,0.003764643971213455,0.006478925857958728,0.009265774322773757,0.011510155255911703,0.013545439047062069,0.01532798059933771,0.016478173746760527,0.017462771159481694,0.01897609161984337,0.020998268249429297,0.023205422205956894,0.025051148792765487,0.026031757316359205,0.02633657072615203,0.026558609344780493,0.027166941362344543,0.028047719309870822,0.028482140619610408,0.028036903853663975,0.027204013269418015,0.026954503763576776,0.027586093710916915,0.028604599832255828,0.02996332706102056,0.03237719638191672,0.036160493102270874,0.04034727590337783,0.04311913852280913,0.04298075632646481,0.03953994534210803,0.03375465927735111,0.027085422412260196,0.020153195994290884,0.012854139840001277,0.0053597519549218875,-0.0019550069636419254,-0.00996918377378353,-0.02140334554518264,-0.04050403762917609,-0.07319195318488059,-0.12438320871265374,-0.19147148789029278,-0.2605777845541186,-0.31362471432508643,-0.3416753446940498,-0.3467657612938213,-0.3319372084499155,-0.29734140769391715,-0.2457185766490425,-0.18552648905617175,-0.12695099775063412,-0.07616296584430682,-0.03392446576083885,0.0015498537772473675,0.03222566087245904,0.0596712173546593,0.08446348777190649,0.10654449017006218,0.12635352223015117,0.14454893759337595,0.16100559196786657,0.1746033399947472,0.18436343015133094,0.1899263603800765,0.19078535960771426,0.1868025443552359,0.17936113927370156,0.17035897331616545,0.16045647251864004,0.14917284184743596,0.1359138920536196,0.12086745252999542,0.10509247663866961,0.08972105497847727,0.07525075753824984,0.06205650933264384,0.050596519205335366,0.04060847594641759,0.03135488540721876,0.022172774233236825,0.012969628255622756,0.004012954476869779,-0.00478824951777701,-0.013858447338857549,-0.02308704067483225,-0.03171817623173534,-0.03939153087382108,-0.04684457359723038,-0.05477153266345092,-0.062434063176045274,-0.06929651845437013,-0.0759662986589198,-0.08231287426488854,-0.08775965857651291,-0.09244478885338969,-0.09584699559492149,-0.09739602461265051",2
,"-0.09167270847410769,-0.08720454820631773,-0.08252651210710615,-0.07840580409075215,-0.07387242996089072,-0.0686763146837781,-0.06350061184305988,-0.058957537040980945,-0.05438874542778982,-0.04911650237949605,-0.04326479451305498,-0.036182651181207115,-0.026775623238270208,-0.015359660512798246,-0.0031622566925346707,0.008979338105315815,0.020621370583782772,0.031107122570079415,0.039857934474122225,0.047102898816832606,0.05346222892669328,0.05950825397725601,0.0652899302417892,0.06975473506802832,0.07178802188443434,0.07126793280669441,0.06824496032121208,0.062342369083573046,0.05333724445479915,0.04171113383285152,0.028316259314055348,0.014682149757956009,0.003065400576974131,-0.005636611435850258,-0.013372005810697751,-0.02396244734755637,-0.040915821249979833,-0.065292824098108,-0.09474217607331603,-0.12467536844078819,-0.1485037321726238,-0.15769916770664882,-0.1461415443419437,-0.11447342059534094,-0.06986667571890659,-0.02186437816645137,0.022758659581349705,0.0605686707251748,0.08944848806465133,0.10902909001438743,0.12115579781750929,0.12845978485373544,0.1330656173860908,0.1359984644054082,0.13700072993469115,0.135401457951961,0.13093448916314865,0.12370931582751543,0.11423060430106047,0.10316329824594317,0.09099813626902709,0.07844433685130892,0.06632211624762296,0.05513353027303669,0.04499374385034183,0.03574501983540601,0.027379832939695037,0.01987481424670612,0.013133501420492522,0.007335194884166674,0.0026173755077526506,-0.0014073708279823682,-0.005058236271287653,-0.008115507858846183,-0.010641760208103479,-0.013232271675465146,-0.016223648741862884,-0.01931264383055853,-0.02188668894739232,-0.023647082189080626,-0.02484294571454415,-0.02610012668169448,-0.02791825139371229,-0.029891874457317336,-0.0314802120893114,-0.033133918883110014,-0.03521310427960145,-0.03710122474346611,-0.038543860864979074,-0.03999194934615413,-0.041748446730782374,-0.0436284075562664,-0.04502372408085542,-0.04606008405637274,-0.047593936739441345,-0.04966001484009308,-0.051511436072641636,-0.05321468815523933,-0.05589754218842835,-0.05904752245963141",2
,"-0.08442039913512107,-0.08267011912731509,-0.07977324725234686,-0.07626554797134427,-0.07188764533827721,-0.06686267216129607,-0.061812130655752084,-0.05732285150083806,-0.053868701485528234,-0.0515001081363865,-0.04983146013164527,-0.04862273992887153,-0.04760105670148669,-0.046179007278526696,-0.043255009693648205,-0.03769210290921436,-0.02961303854159185,-0.020685381231381,-0.012664126663208625,-0.006424794833258765,-0.00267163014931239,-0.0018485473687306353,-0.0037909668526279056,-0.008198447915361382,-0.01546905028504826,-0.02691675865098861,-0.043190321177002555,-0.06227415293436951,-0.07948310188758403,-0.09028358866223254,-0.09295844036803759,-0.08721993722243307,-0.07149745569820942,-0.04471997296555086,-0.009459925064480332,0.029030768364347065,0.06645353865007256,0.100521259454499,0.12864823082786886,0.1482377980560196,0.1592015995942066,0.16404729490302444,0.16626410485527152,0.16819574854981775,0.16964982425806105,0.1693648810513897,0.16692383890606965,0.16279241496493116,0.15735185922804673,0.14989590909524456,0.13972103485083268,0.12750494781190574,0.11473587068444463,0.10268481448582176,0.09134365296432376,0.07997459630808942,0.06849498021223352,0.057537282129393436,0.047803457957871776,0.038894341739355354,0.02992073967374964,0.021233906578824874,0.013351335200890407,0.005505722397039781,-0.0027401547663779557,-0.010415777850680874,-0.01674844273699999,-0.021809711460720776,-0.02570727386939292,-0.028704185507847618,-0.031387246908502836,-0.03423810893629975,-0.03695980577058952,-0.038816866575973386,-0.0398027602896984,-0.040584829017303176,-0.04173569655677517,-0.04305775303347745,-0.043963412635987936,-0.044354208482033114,-0.04428109120912907,-0.043921050001066414,-0.043673300343087945,-0.04352482810119962,-0.043320784552537295,-0.04309297634735587,-0.042634430258855355,-0.041873017601201074,-0.04140701884368622,-0.041840290341548514,-0.042845465573969455,-0.043337119931610435,-0.042806847410252785,-0.04192321040132346,-0.04153285942894194,-0.042133349936545966,-0.04364819971457434,-0.04570062488864998,-0.048839283667340805,-0.052989332923109034",2
,"-0.11369189304110905,-0.11386686327342288,-0.1129135657575841,-0.11002985954349215,-0.1063113779701072,-0.10269035538839599,-0.09899318713708405,-0.09462113218111512,-0.08931501035976824,-0.08283860971061985,-0.07495165827985034,-0.06637516608290334,-0.05797114567902456,-0.04945426288880994,-0.040566364522114484,-0.031942133540366624,-0.024231060002669613,-0.01794502876971754,-0.01323635791030181,-0.009261477007571017,-0.005351050209524366,-0.001976918488077628,0.0005285170075520762,0.002819246673128495,0.0057831356889081476,0.009570568199631091,0.01383505416569597,0.01893463721836225,0.026195414601587752,0.036284968869605805,0.04846367180430533,0.06204308546668713,0.0761384934448654,0.08841207365671205,0.09681398497388383,0.10071631303498674,0.0997574318266759,0.09348844930131855,0.08209801177315124,0.06761031001041196,0.05498527601398029,0.049826893804947814,0.05423878347742955,0.0660204629168718,0.08084323618112821,0.09445552092135284,0.10357304267099582,0.10667085740668586,0.10448333127867848,0.09924841218162617,0.09334309236900434,0.08832780769950294,0.08536250473371321,0.08478122265413146,0.08522548808320352,0.08521550720937493,0.08427936696090949,0.08213539889262395,0.07833733251540365,0.07233534867339692,0.06401243758662245,0.05445367311281324,0.04473315527364252,0.034887978712354106,0.0251855707051179,0.016188836248128835,0.007995294928470231,0.0004921239049680004,-0.006772127927066718,-0.014535097233901006,-0.022582933389712956,-0.02947529284018635,-0.03429578812764528,-0.03761289515877847,-0.04017480567579701,-0.04226390269667196,-0.04418515910167381,-0.04608597323830643,-0.04787121204615752,-0.04931768127530367,-0.05048668344869606,-0.05172529517401686,-0.05296864448739985,-0.05416401803818527,-0.055326054134580194,-0.05598588549928485,-0.055824406051944386,-0.054962824155686874,-0.053675936709027094,-0.05244067270328229,-0.051626318365948776,-0.05127944834257886,-0.05097385887570438,-0.04986092788974694,-0.04767827243450706,-0.04506873206344786,-0.04246998579012917,-0.04028404966429805,-0.03971408007360039,-0.040907884477638934",2
